Név;Nem;Születésnap;Úszás;Kerékpár;Futás;Rajtszám
Major Kevin;f;2003.09.20;1:53:36;1:05:01;2:35:39;10060
Lengyel Csenge;n;2000.07.28;2:05:57;1:48:17;1:44:13;10061
Váradi Márton;f;1990.09.19;1:24:19;2:19:31;2:56:15;10062
Tóth Emma;n;1981.03.29;2:00:51;2:07:55;1:17:43;10063
Pap Zsófia;n;1994.06.27;1:57:41;1:19:52;2:15:26;10064
Deák Roland;f;1994.08.05;2:23:15;1:23:23;2:56:24;10065
Budai Gábor;f;1987.08.04;1:09:52;1:58:56;1:48:52;10066
Kun Lilla;n;1980.05.17;2:33:49;2:23:22;1:46:58;10067
Váradi Áron;f;1980.06.04;1:23:50;2:17:07;2:01:34;10068
Halász Viktor;f;1988.03.01;1:31:11;2:23:35;1:09:40;10069
Sándor Liliána;n;1982.06.16;1:44:32;2:28:23;2:14:16;10070
Kocsis Ferenc;f;1996.06.09;1:37:20;2:40:49;1:16:13;10071
Molnár Lilla;n;1984.09.19;2:35:39;2:53:44;2:14:34;10072
Hegedüs Nikolett;n;1986.10.09;1:28:32;2:17:18;1:24:01;10073
Soós Balázs;f;2001.03.23;2:07:35;2:03:21;1:49:27;10074
Csonka Panna;n;1998.10.09;1:59:49;2:25:59;2:01:33;10075
Pataki József;f;1986.10.22;1:16:35;1:20:29;2:58:40;10076
Faragó Eszter;n;1984.02.03;2:52:31;2:31:41;1:38:07;10077
Dudás Kata;n;1998.09.19;1:38:52;2:38:24;1:17:22;10078
Molnár Zsombor;f;2000.04.22;1:05:54;1:41:25;2:59:53;10079
Szõke Szonja;n;1984.11.29;2:22:46;2:13:13;1:59:58;10080
Gál Enikõ;n;1991.09.02;2:21:04;1:14:01;1:11:30;10081
Szekeres Sándor;f;1981.09.11;1:40:16;1:05:00;2:21:08;10082
Bogdán Vanessza;n;2002.12.28;1:09:29;1:06:48;2:34:35;10083
Pap István;f;2004.09.09;1:07:18;1:44:52;1:49:01;10084
Sipos Dávid;f;1995.11.10;1:22:58;1:17:25;2:34:27;10085
Pásztor Zsolt;f;1983.12.03;1:45:07;1:47:00;2:28:11;10086
Tamás János;f;1994.09.26;2:56:37;2:46:11;2:33:53;10087
Fazekas Dávid;f;2004.10.11;2:05:10;1:26:55;1:47:16;10088
Szekeres Enikõ;n;1998.01.25;1:10:50;2:08:40;2:13:39;10089
Fodor Adrienn;n;2003.09.25;1:23:01;1:07:54;1:04:30;10090
Hajdú András;f;1997.10.12;1:47:53;1:57:39;2:09:23;10091
Virág János;f;1998.08.26;2:35:39;1:10:02;2:02:05;10092
Székely Emma;n;1994.11.25;1:35:29;2:42:24;1:57:12;10093
Szilágyi Zoltán;f;1992.02.26;2:01:00;1:19:54;1:38:53;10094
Orsós Richárd;f;1998.09.04;2:39:52;2:13:14;2:31:17;10095
Csonka Laura;n;2004.09.27;1:44:26;2:11:51;1:40:36;10096
Oláh Martin;f;1991.01.13;1:26:42;1:37:39;2:55:32;10097
Szabó Anna;n;1990.02.25;1:58:49;2:24:19;1:51:37;10098
Novák Réka;n;1990.03.29;2:43:18;2:21:11;2:20:23;10099
Pap Kitti;n;1994.05.05;2:46:38;2:48:47;1:40:02;10100
Fehér István;f;1983.03.25;1:32:04;1:35:47;2:59:11;10101
Balogh János;f;1999.09.21;2:22:48;1:56:01;1:39:52;10102
Orsós Szabolcs;f;1982.09.20;2:39:11;2:08:36;1:42:00;10103
Papp Ferenc;f;1980.07.07;1:06:20;1:08:02;1:40:48;10104
Szálai Ádám;f;1979.12.23;2:18:06;1:13:06;2:55:38;10105
Király Máté;f;2000.03.22;1:37:22;2:18:10;2:24:29;10106
Lakatos Tímea;n;1996.08.16;1:03:33;2:39:17;2:32:08;10107
Bognár Eszter;n;1986.12.27;1:40:18;2:42:19;2:41:11;10108
Barta Milán;f;1996.05.12;1:42:09;2:25:32;1:55:14;10109
Török Levente;f;2000.05.02;2:07:23;1:33:10;2:38:20;10110
Bakos Ádám;f;1991.11.03;2:11:32;2:48:47;1:27:23;10111
Gáspár Barbara;n;1989.03.17;1:26:14;1:43:28;2:36:02;10112
Somogyi Zalán;f;2001.09.12;2:12:21;2:32:27;1:25:32;10113
Dudás Dorka;n;1999.01.22;1:56:31;1:53:42;2:46:16;10114
Király Kinga;n;1994.05.12;2:26:17;2:15:57;2:47:40;10115
Katona Lilla;n;1994.11.23;1:39:02;1:37:26;1:09:07;10116
Kun Marcell;f;1996.08.20;1:43:55;1:24:03;2:41:34;10117
Kun Áron;f;1983.03.30;1:11:13;2:53:04;1:45:33;10118
Nemes Kata;n;1996.04.10;1:00:43;1:10:21;2:53:19;10119
Balázs Hanna;n;1981.01.02;2:16:55;1:24:34;1:53:05;10120
Gáspár Dániel;f;1998.09.13;1:17:14;2:18:56;2:22:00;10121
Rácz Zoltán;f;1987.01.07;1:49:59;1:06:28;2:18:31;10122
Horváth Zalán;f;1995.10.04;1:15:01;2:47:55;2:40:32;10123
Nemes Regina;n;2000.06.15;1:20:22;1:03:47;2:25:00;10124
Pap Levente;f;1990.03.22;1:14:10;2:54:55;2:06:32;10125
Fazekas Fruzsina;n;1984.03.22;2:29:07;1:03:55;2:57:25;10126
Balog Lilla;n;1999.09.19;1:31:17;1:00:49;1:11:01;10127
Katona Dorina;n;1989.06.18;1:07:35;1:32:36;1:49:19;10128
Barna Hanna;n;1999.12.22;2:21:12;1:35:44;1:08:20;10129
Kovács Dorina;n;2000.03.20;1:05:01;1:23:41;1:30:55;10130
Máté Adrienn;n;1987.03.01;1:50:39;1:38:37;1:14:20;10131
Hegedüs Kitti;n;1989.12.19;1:42:00;1:56:06;2:52:20;10132
Vörös Dominik;f;1987.07.25;2:49:34;1:17:08;1:29:18;10133
Kozma Panna;n;1986.02.16;1:38:57;1:29:25;1:18:26;10134
Katona Milán;f;1990.09.23;1:53:11;1:18:35;1:28:47;10135
Novák Rebeka;n;2000.12.27;1:54:20;1:20:23;1:18:35;10136
Csonka Richárd;f;1980.04.10;1:50:55;1:34:54;2:05:12;10137
Fodor Blanka;n;2003.03.16;1:38:40;2:33:44;1:48:55;10138
Nemes Kinga;n;1990.12.06;2:27:16;2:15:57;2:41:55;10139
Pintér Krisztina;n;1985.12.04;2:26:01;2:23:34;2:06:21;10140
Faragó Vanda;n;2004.06.28;1:20:56;2:52:30;2:47:37;10141
Pap Alexandra;n;1991.08.21;2:05:07;1:50:27;1:34:07;10142
Péter Emma;n;1994.12.06;2:36:18;1:03:24;1:20:30;10143
Hajdú Fanni;n;1982.11.17;2:39:37;2:38:38;1:47:31;10144
László Virág;n;2002.03.03;2:25:50;1:40:42;2:37:26;10145
Barta Rebeka;n;1997.04.02;2:20:47;2:57:18;1:50:19;10146
Major Péter;f;1996.11.28;2:51:00;1:51:58;1:03:42;10147
Szálai Márk;f;1990.12.04;2:16:23;2:06:24;2:31:12;10148
Halász Péter;f;1996.06.29;1:56:53;1:41:07;2:45:47;10149
Katona Ferenc;f;1987.04.30;2:52:44;1:36:00;2:29:36;10150
Horváth Ferenc;f;1984.07.29;1:33:12;1:12:01;1:58:41;10151
Balla Attila;f;1999.09.13;1:02:20;2:48:37;1:41:15;10152
Borbély Boglárka;n;1991.11.24;1:45:17;2:49:37;1:40:05;10153
Illés Dávid;f;2000.04.23;2:19:01;1:17:59;1:01:19;10154
Fodor Ákos;f;2000.06.02;2:31:15;2:29:19;2:56:13;10155
Sipos Csaba;f;1986.04.10;1:52:12;1:49:13;1:32:46;10156
Máté Péter;f;1995.12.22;1:30:29;2:14:52;2:38:28;10157
Balázs Kristóf;f;1988.08.14;2:26:19;2:21:17;1:04:28;10158
Novák Benedek;f;1983.05.20;2:50:39;1:23:03;1:13:20;10159
Fábián Levente;f;2003.05.09;2:49:44;2:34:31;2:10:10;10160
Szálai Dávid;f;1995.12.12;2:33:59;1:33:00;2:46:58;10161
Antal Gréta;n;2004.03.03;1:53:53;2:00:46;2:50:58;10162
Vass Vanda;n;1987.11.13;1:17:13;2:37:37;1:38:56;10163
Virág Tímea;n;1997.07.29;2:31:52;1:13:24;1:52:05;10164
Kun Ádám;f;1999.11.20;2:43:53;1:32:39;1:45:11;10165
Rácz Norbert;f;1992.11.16;2:30:56;1:34:16;1:10:32;10166
Hajdú Vanessza;n;1983.10.07;1:51:05;2:42:26;2:41:54;10167
Antal Vivien;n;2004.08.27;1:19:37;1:04:07;2:47:46;10168
Fazekas Hanna;n;1987.09.13;1:22:40;1:39:04;2:19:00;10169
Kiss Kata;n;2002.05.07;2:51:29;1:34:03;2:38:49;10170
Borbély Rebeka;n;1982.04.28;1:03:02;1:22:33;1:01:53;10171
Veres Zalán;f;1996.03.29;2:12:09;1:58:55;2:26:17;10172
Veres Alexandra;n;1982.03.21;2:07:05;2:42:46;2:56:00;10173
Kerekes Dorka;n;2003.11.23;2:55:53;1:00:33;2:24:01;10174
Szücs Zsolt;f;1984.06.12;1:28:57;1:14:21;1:57:03;10175
Illés Flóra;n;2003.06.07;2:23:04;1:36:26;2:01:44;10176
Végh Vanessza;n;1983.03.30;2:50:06;1:11:56;2:39:31;10177
Dobos Zsombor;f;1983.11.14;1:13:16;2:33:35;2:01:34;10178
Orosz Kinga;n;1980.01.16;1:32:39;2:37:59;1:26:10;10179
Orosz Bálint;f;2000.05.19;2:35:39;1:43:32;1:09:24;10180
Farkas Sára;n;1990.01.01;1:44:18;2:09:55;2:02:34;10181
Gáspár Barbara;n;1997.04.06;1:37:03;2:19:35;2:57:09;10182
Kocsis Levente;f;1999.07.12;1:27:40;2:24:51;1:42:08;10183
Pataki Eszter;n;1987.01.10;1:09:47;1:52:04;1:18:32;10184
Fehér Lili;n;1990.11.29;1:41:26;2:17:02;1:35:50;10185
Péter Bence;f;2003.05.31;1:37:45;2:24:14;1:32:59;10186
László Márton;f;1980.09.15;2:27:56;1:42:07;1:48:06;10187
Pataki Blanka;n;1987.12.01;1:14:59;2:59:07;2:14:39;10188
Jakab Luca;n;1992.05.21;1:19:08;1:24:39;2:05:37;10189
Szõke Zsófia;n;1998.07.18;1:55:11;1:09:49;1:27:32;10190
Péter Flóra;n;1994.08.22;1:08:02;2:09:05;2:32:23;10191
Szabó Dániel;f;1983.08.11;2:22:08;2:19:07;2:37:14;10192
Hegedûs Kristóf;f;1997.10.29;2:12:53;1:12:56;1:07:43;10193
Barna József;f;1988.09.21;2:54:34;2:59:25;2:56:54;10194
Vass Zsófia;n;1990.11.12;2:11:13;2:26:41;2:31:23;10195
Fazekas Blanka;n;1980.08.25;1:07:06;1:37:43;1:42:45;10196
Pataki Márton;f;2001.06.19;1:33:13;2:07:50;1:54:27;10197
Dobos Alexandra;n;1989.09.03;2:58:22;2:43:50;1:47:06;10198
Gulyás Ramóna;n;1999.04.29;2:10:20;1:25:10;2:26:54;10199
Nemes Noémi;n;2000.02.18;2:29:28;2:33:37;2:49:30;10200
Somogyi Csenge;n;1993.12.02;1:56:27;1:20:44;1:39:05;10201
Farkas Amanda;n;1979.12.16;1:59:40;2:23:01;1:10:46;10202
Pap Richárd;f;2003.09.08;1:06:13;1:17:59;2:55:56;10203
Kovács Milán;f;1985.11.05;2:24:31;1:26:41;1:06:50;10204
Halász Hanna;n;1986.03.20;1:47:21;2:29:09;1:40:39;10205
Rácz Alexandra;n;2004.11.11;2:35:34;1:51:55;2:14:28;10206
Kovács Vanessza;n;1980.02.25;2:02:24;1:13:04;1:22:03;10207
Balog Csaba;f;2002.01.15;2:48:19;2:58:08;1:09:52;10208
Pintér Alexandra;n;1991.08.12;1:15:36;2:13:14;2:52:48;10209
Halász Milán;f;1998.07.11;1:56:54;2:22:25;2:12:36;10210
Halász Róbert;f;1994.06.19;2:37:09;2:14:02;2:57:04;10211
Kun Dóra;n;1988.03.03;2:30:11;2:17:27;1:13:22;10212
Kerekes Botond;f;2001.02.06;1:38:26;2:11:24;2:47:24;10213
Halász Flóra;n;1992.10.14;2:42:57;2:22:34;1:22:18;10214
Somogyi Patrik;f;1992.01.26;2:33:04;1:14:21;1:34:58;10215
Major Flóra;n;1993.03.30;1:44:25;1:49:38;1:12:41;10216
Jónás Janka;n;1992.03.29;1:26:13;1:20:55;2:01:36;10217
Orbán Fruzsina;n;1996.04.21;2:17:31;2:21:31;1:00:32;10218
Tóth Csaba;f;2004.10.21;1:05:38;1:40:42;1:32:03;10219
Kun Kinga;n;2000.03.07;2:43:42;2:28:26;2:54:18;10220
Gál Zsombor;f;2004.08.20;1:16:56;2:56:46;2:53:23;10221
Veres Krisztián;f;2003.10.05;1:28:14;2:12:10;2:45:09;10222
Balog Benedek;f;1991.05.10;2:12:32;2:51:16;1:11:02;10223
Balla Szonja;n;2003.09.19;2:47:03;1:47:26;1:43:46;10224
Kelemen Tímea;n;1987.12.16;1:52:00;1:27:54;1:35:41;10225
Kis Emma;n;1991.03.31;1:11:27;2:50:07;2:38:29;10226
Németh Rebeka;n;1989.11.11;2:56:20;2:41:12;1:42:43;10227
Pál Emese;n;1991.08.19;2:43:19;2:52:13;2:03:15;10228
Kun Liliána;n;1986.09.28;1:58:52;2:15:26;1:44:34;10229
Nagy Barbara;n;2003.09.29;1:01:26;1:20:36;2:58:09;10230
Pál Milán;f;1999.03.10;2:28:25;1:39:52;1:14:38;10231
Pataki Kata;n;2003.05.13;1:33:59;2:23:21;2:13:07;10232
Szabó Benedek;f;1993.03.23;1:35:52;1:52:22;2:53:17;10233
Soós Benedek;f;1984.03.16;1:26:28;1:49:40;1:17:55;10234
Csonka Zsófia;n;1991.05.02;2:50:43;2:14:55;1:24:22;10235
Orsós Áron;f;1984.07.22;1:02:37;1:13:35;1:56:01;10236
Németh Alex;f;1992.10.03;2:18:01;2:58:16;2:21:15;10237
Illés Liliána;n;1982.03.12;1:51:29;1:22:55;2:28:31;10238
Borbély Zsombor;f;2002.01.06;1:44:31;1:29:39;2:41:31;10239
Bíró Dávid;f;1998.08.30;2:19:20;2:07:30;1:27:31;10240
Bíró Ádám;f;1998.09.21;2:23:32;1:11:23;2:11:00;10241
Veres Balázs;f;1992.06.06;1:26:34;1:43:47;2:07:03;10242
Végh Norbert;f;1999.04.18;2:08:50;1:51:57;2:04:59;10243
Pap Eszter;n;1998.01.18;2:14:44;1:34:54;2:41:45;10244
Halász Szonja;n;1997.09.11;1:03:00;2:28:31;2:14:27;10245
Juhász Dóra;n;1983.07.24;1:53:43;1:45:47;1:06:19;10246
Gál Anna;n;1995.11.29;2:45:14;1:44:10;2:07:18;10247
Szücs Áron;f;1991.10.04;1:32:24;1:51:48;2:55:01;10248
Kis Kitti;n;2002.08.25;2:37:25;1:24:54;1:45:04;10249
Szabó Csaba;f;1980.12.25;2:55:12;1:24:26;1:17:53;10250
Gáspár Viktor;f;1985.05.15;1:35:30;2:50:59;2:25:19;10251
Major Sára;n;1998.05.09;1:02:18;1:53:50;2:25:17;10252
Hajdú Kristóf;f;1983.09.23;2:47:52;1:12:32;2:34:49;10253
Fábián Alex;f;1996.06.19;2:10:39;2:52:55;1:13:34;10254
Vass Anna;n;1990.10.21;2:55:39;2:27:00;2:07:13;10255
Takács Alex;f;1984.07.23;2:50:23;2:22:33;1:22:00;10256
Juhász Dominik;f;2004.09.19;2:28:16;1:48:56;1:28:28;10257
Antal Szabolcs;f;1994.03.03;1:45:07;1:17:52;2:30:13;10258
Dobos Martin;f;1980.12.19;1:35:01;2:46:02;1:35:39;10259
Simon Réka;n;1983.12.16;2:50:19;1:28:23;2:35:38;10260
Tamás Áron;f;1999.09.26;2:45:22;2:34:12;2:12:24;10261
Hajdú Anna;n;2003.01.30;2:02:30;1:03:02;2:05:31;10262
Székely József;f;2001.05.12;2:33:02;1:46:19;2:17:27;10263
Virág Áron;f;1990.07.20;2:49:26;1:04:24;1:48:02;10264
Bakos Lili;n;1993.10.05;1:23:18;2:37:13;2:49:38;10265
Szekeres Barnabás;f;1989.09.23;2:32:21;1:10:40;1:27:50;10266
Juhász Barbara;n;1991.09.18;1:21:14;1:47:16;1:35:36;10267
Bíró Alexandra;n;2003.11.21;1:16:27;1:07:01;1:08:01;10268
Virág Flóra;n;1983.04.03;2:47:21;2:03:37;1:28:04;10269
Hegedüs Viktória;n;1998.06.01;2:25:38;2:38:25;2:16:09;10270
Vörös Tímea;n;1986.01.12;1:15:50;1:02:01;1:49:08;10271
Dudás Hanna;n;2002.09.11;1:12:26;1:43:40;2:12:29;10272
Vincze Benedek;f;2002.03.03;2:08:33;1:03:33;1:19:14;10273
Szálai Hanna;n;2004.07.12;2:00:16;1:50:57;2:23:23;10274
Szõke Kitti;n;1980.07.11;1:29:38;2:02:38;2:00:53;10275
Kovács Luca;n;1980.10.12;1:13:56;2:44:58;1:40:15;10276
Kovács Vanda;n;1999.02.15;2:23:57;2:04:51;2:25:22;10277
Gál Csenge;n;1983.12.24;2:23:53;1:54:33;2:05:36;10278
Molnár Emma;n;1990.01.19;1:10:59;2:13:18;1:08:23;10279
Pataki Ákos;f;1987.06.08;1:43:40;2:22:12;2:36:44;10280
Hegedüs Kata;n;1986.08.10;1:02:35;2:04:45;2:08:01;10281
Balogh Fruzsina;n;1996.04.28;1:48:39;1:10:55;1:55:34;10282
Papp Sándor;f;1992.09.04;2:32:20;2:39:16;2:07:39;10283
Illés Bence;f;1983.03.21;1:53:38;1:39:07;2:31:19;10284
Bognár Alex;f;1999.06.19;2:35:40;1:59:39;2:59:31;10285
Jakab Márk;f;1987.01.22;2:33:51;2:29:44;2:09:48;10286
Takács Barnabás;f;1991.05.25;1:31:20;1:08:01;2:54:32;10287
Kerekes Gergely;f;1996.02.27;2:47:24;1:01:16;1:33:48;10288
Major Rebeka;n;1983.06.20;2:18:04;2:46:04;2:06:07;10289
Kelemen Dominik;f;1989.01.08;2:54:04;2:36:44;1:03:58;10290
László Jázmin;n;1981.06.11;2:47:10;2:04:17;1:08:24;10291
Bogdán Áron;f;2000.06.26;1:59:39;2:49:57;1:12:15;10292
Vörös Dorka;n;1991.03.20;1:37:05;2:26:46;1:15:16;10293
Kis Norbert;f;2003.03.03;1:49:51;1:57:24;2:14:50;10294
Major Zsombor;f;1997.04.09;1:10:05;1:00:17;1:22:13;10295
Bakos Lili;n;2000.06.25;1:26:22;2:05:09;2:21:36;10296
Sándor Patrik;f;2004.04.02;1:06:47;2:17:30;1:22:08;10297
Rácz József;f;1987.07.01;1:29:58;2:22:40;2:57:43;10298
Mészáros Kinga;n;1981.09.21;2:06:46;1:21:31;1:24:33;10299
Deák Emese;n;1992.06.20;1:02:22;1:42:42;2:12:16;10300
Lengyel Barbara;n;1993.02.27;2:39:43;1:38:59;1:19:40;10301
Végh Zsolt;f;1982.06.29;2:17:32;2:56:13;1:10:14;10302
Halász Csenge;n;2002.09.04;1:37:36;2:00:06;2:52:45;10303
Varga Rebeka;n;1984.03.14;2:41:10;1:16:53;1:22:37;10304
Gulyás Dorina;n;1983.07.21;2:04:06;2:33:10;2:38:54;10305
Farkas Viktor;f;1981.06.19;1:21:57;1:36:39;2:01:56;10306
Soós Vanessza;n;1996.07.07;1:52:01;2:25:54;2:49:02;10307
Gulyás István;f;1997.08.30;2:46:19;2:32:46;2:47:34;10308
Lengyel Eszter;n;1994.03.28;2:47:08;2:24:21;2:49:02;10309
Szilágyi Vivien;n;1993.02.01;1:38:00;1:30:31;1:48:11;10310
Végh Dorka;n;1998.11.15;2:08:39;1:29:03;1:23:02;10311
Juhász Dominik;f;1985.05.13;2:31:21;2:51:37;2:53:15;10312
Lengyel Janka;n;1987.10.05;1:45:10;1:35:56;1:15:45;10313
Pásztor Gábor;f;1992.02.16;2:58:22;1:28:24;1:32:45;10314
Rácz Alexandra;n;1982.07.07;1:59:53;1:52:16;2:12:23;10315
Faragó Zoltán;f;1984.06.16;1:55:17;2:01:28;2:16:16;10316
Dobos Roland;f;1983.09.21;2:07:36;1:38:46;2:39:33;10317
Kiss Bálint;f;1989.11.01;1:08:35;2:57:25;1:43:27;10318
Jakab Norbert;f;2001.11.27;2:20:50;2:50:22;2:06:01;10319
Fülöp Botond;f;2000.05.09;2:40:13;2:27:49;1:41:06;10320
Orosz Zsolt;f;1999.08.01;1:02:06;2:23:54;1:11:19;10321
Soós Kristóf;f;2002.05.29;1:24:31;1:03:00;2:09:19;10322
Kozma Benedek;f;1993.01.16;1:50:57;2:45:54;2:14:24;10323
Budai Csenge;n;1990.12.15;1:18:44;2:21:23;2:30:43;10324
Pataki Dorka;n;1983.12.08;2:50:59;1:46:18;1:19:30;10325
Pintér Áron;f;1985.11.26;2:11:17;2:44:18;2:48:15;10326
Gulyás Emese;n;1994.02.19;1:31:09;1:38:16;1:59:17;10327
Mészáros Gábor;f;1994.12.02;1:48:15;2:17:55;2:25:38;10328
Balla Zoltán;f;2001.09.10;2:01:17;2:17:51;1:30:59;10329
Lukács Kinga;n;1999.05.12;2:57:43;1:56:01;1:42:49;10330
Fazekas Zsombor;f;1998.03.21;1:17:34;1:36:35;1:59:47;10331
Papp Lili;n;1982.11.28;1:33:04;2:11:05;2:42:31;10332
Rácz Tamás;f;1999.09.06;1:52:10;1:58:37;2:37:02;10333
Balla Erik;f;1998.01.02;2:03:48;1:53:21;2:17:48;10334
Veres Hanna;n;1995.01.10;2:58:19;1:07:45;2:24:10;10335
Kis Virág;n;1996.03.28;1:15:33;2:29:48;1:35:03;10336
Oláh Vivien;n;1990.07.22;1:44:29;2:37:51;2:38:07;10337
Fekete Zsombor;f;1982.04.12;2:16:45;1:24:34;2:58:53;10338
Kocsis Olivér;f;2000.05.24;2:03:03;1:02:01;1:21:22;10339
Hegedûs Alexandra;n;1997.06.18;1:20:06;2:03:29;1:45:52;10340
Pap Alexandra;n;1992.09.10;2:03:58;1:44:25;2:58:05;10341
Takács Gréta;n;1984.07.25;1:48:59;1:06:30;2:28:26;10342
Gál Nikolett;n;1981.01.16;1:05:02;2:02:58;1:49:10;10343
Magyar Tamás;f;2004.07.19;1:55:38;1:01:08;1:15:43;10344
Fehér Áron;f;1984.09.30;1:42:28;2:12:23;1:53:58;10345
Orbán Kinga;n;2004.07.01;1:43:00;1:00:45;2:01:37;10346
Orsós Ádám;f;1987.05.18;2:43:35;1:00:32;1:28:20;10347
Bogdán Milán;f;1992.08.20;2:42:59;1:46:40;2:33:40;10348
Lukács Kata;n;1997.02.16;1:53:57;1:05:30;2:16:56;10349
Borbély Milán;f;1992.11.10;2:41:09;2:38:42;2:12:45;10350
Szücs Janka;n;1985.08.03;2:09:44;1:52:45;1:06:59;10351
Váradi Rebeka;n;1980.07.20;2:11:50;1:08:53;2:34:37;10352
Bálint Ramóna;n;1983.04.30;2:19:25;1:33:50;1:34:43;10353
Szabó Ádám;f;2002.04.25;1:27:50;2:30:36;1:44:44;10354
Barna Enikõ;n;1991.01.27;2:54:34;2:03:06;1:32:41;10355
Barna Luca;n;1998.06.22;1:42:56;2:10:04;1:17:12;10356
Gáspár Kitti;n;1999.12.02;1:16:17;2:13:27;2:45:52;10357
Kozma Gergõ;f;1985.03.17;1:42:58;1:33:59;2:04:32;10358
Hegedûs Patrik;f;1995.10.07;2:51:41;2:33:39;1:33:20;10359
Oláh Patrik;f;2000.04.13;2:12:13;1:17:01;1:17:40;10360
